Team,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG
Seattle U,15.9,43.3,70.7,7.43,69.7,8.7,34.3,14.5
Western Caro.,11.4,39.0,65.3,12.41,61.4,5.7,30.7,16.1
Tennessee Tech,13.9,42.1,70.8,11.13,72.4,7.5,32.4,13.6
Southeast Mo. St.,13.8,44.9,74.2,8.76,74.5,8.0,36.7,12.4
Niagara,12.6,41.6,75.0,11.79,74.2,7.4,36.6,13.0
Marist,11.0,42.9,72.5,7.34,69.5,7.7,33.3,12.8
Cal St. Fullerton,12.1,44.4,68.7,10.88,73.5,6.1,31.1,15.0
UMES,13.2,42.4,68.3,10.29,71.4,7.7,34.2,12.9
Bryant,14.4,43.7,72.0,10.78,74.2,7.4,33.8,13.4
Fla. Atlantic,12.3,41.1,70.3,10.53,70.3,6.8,31.9,11.6
Savannah St.,17.3,41.0,64.8,12.34,85.7,13.5,33.2,14.9
The Citadel,17.0,41.5,75.7,13.58,89.8,12.0,34.0,14.3
Brown,13.3,44.3,75.9,9.17,75.8,8.1,36.7,14.4
Hampton,11.7,40.7,71.2,11.97,69.3,6.3,31.6,14.0
Oregon St.,11.9,42.8,66.1,9.06,63.2,6.3,34.6,15.3
Northern Colo.,13.5,44.0,60.4,10.69,71.6,8.8,34.5,14.0
Detroit Mercy,12.8,44.5,66.4,10.32,77.0,8.1,37.2,14.5
Oral Roberts,14.1,44.5,75.9,9.27,75.1,7.2,36.7,12.0
Colgate,12.9,44.0,67.7,8.22,67.0,8.5,37.0,14.7
Tulane,12.8,40.5,71.7,11.26,70.3,7.1,32.4,13.5
NJIT,12.7,42.3,70.3,11.52,72.6,8.3,33.3,14.1
La.-Monroe,13.4,42.5,66.9,10.58,66.6,7.2,33.2,13.1
Appalachian St.,13.8,42.0,68.1,11.30,73.6,8.4,33.7,13.8
Charleston So.,11.0,44.1,66.6,10.84,74.3,7.4,34.1,11.5
Cal Poly,10.4,40.3,69.7,9.68,67.2,8.3,34.0,10.7
Sacramento St.,13.2,45.9,65.1,9.87,71.1,5.2,31.6,11.6
Sacred Heart,14.3,44.2,70.1,11.28,72.7,6.3,33.5,16.1
Hawaii,13.9,42.3,71.5,9.57,68.1,7.1,32.5,13.8
Miami (OH),11.4,43.4,69.1,9.31,70.3,6.2,30.8,14.6
Northwestern St.,14.0,44.2,69.0,11.62,76.0,7.0,36.6,15.1
Dartmouth,11.4,43.2,70.9,9.22,67.1,7.4,35.3,14.9
Jacksonville,13.5,46.6,73.6,9.15,77.5,9.9,40.3,12.8
